
1a FI - Nõlvaku
1b Nõlvaku - FI
2a Nõlvaku - Lõunakeskus
2b Nooruse-Nõlvaku
2c Lõunakeskus - Nõlvaku
3a Zoomeedikum - Nõlvaku
3b Nõlvaku - Zoomeedikum
4a Ringtee - Kummeli
4b Kummeli - Ringtee
5a Turu - Turu
5b Männimetsa -Turu
6a Lõunakeskus - Roheline park
6b Roheline park - Lõunakeskus
6c Lõunakeskus - Zoomeedikum - Roheline park
6d Roheline park - Zoomeedikum - Lõunakeskus
7a Kaupmehe - Ringtee 
7b Ringtee - Kaupmehe
8a Kvissentali - Kopli - Kvissentali
8b Kvissentali - Mesika
9a Ringliin 1
9Aa Ringliin 2 E-Kaubamaja algusega
9Ab Ringliin 2 Nõlvaku algusega
10a Kvissentali - Rdt jaam
10b Rdt. jaam - Kvissentali
11a Männimetsa - Kasteheina
11b Lõunakeskus - Kasteheina
11c Kasteheina - Lõunakeskus
12a Kasteheina - Lõunakeskus
12b Lõunakeskus - Kasteheina
13a Kasteheina - Puidu
13b Puidu - Kasteheina
22a Ööliin
22b Ööliin (LP)
25a Bussijaam - Raudteejaam - Bussijaam
25b Bussijaam - Raudteejaam - Maarjamõisa
69a Lõunakeskuse ekspress (kesklinna)
E1a Lennujaama ekspress Annelinna keskus - Lennujaam
E1b Lennujaama ekspress Lennujaam - Annelinna keskus
